year,county,yield_bu_ac,Acres_planted,Acres_harvested,yield_kg_ha,area_planted_ha,area_harvested_ha,prod_kg
2010,BAILEY,26.5,68800,44800,1782.150761,27842.36928,18129.91488,32310241.6
2010,BAYLOR,27,118200,65800,1815.776247,47833.83792,26628.31248,48351057.3
2010,BELL,49.3,12800,9100,3315.472925,5179.97568,3682.63896,12209689.77
2010,BEXAR,39.1,4800,2300,2629.51301,1942.49088,930.77688,2447489.915
2010,BORDEN,30.7,12200,5800,2064.604844,4937.16432,2347.17648,4845991.93
2010,BOSQUE,29,6100,3000,1950.278191,2468.58216,1214.0568,2367748.5
2010,BRISCOE,28,47100,28500,1883.027219,19060.69176,11533.5396,21717969
2010,BROWN,23,9100,4300,1546.772359,3682.63896,1740.14808,2691612.95
2010,CALDWELL,38.8,1900,1600,2609.337718,768.90264,647.49696,1689538.24
2010,CALLAHAN,30,34000,17400,2017.529163,13759.3104,7041.52944,14206491
2010,CARSON,39.5,85600,82000,2656.413398,34641.08736,33184.2192,88151004.5
2010,CASTRO,35.6,156000,114700,2394.134607,63130.9536,46417.43832,111129595.5
2010,CHILDRESS,28.9,58700,46100,1943.553094,23755.04472,18656.00616,36258938.5
2010,CLAY,28.9,69200,30600,1943.553094,28004.24352,12383.37936,24067755.27
2010,COCHRAN,28.6,17800,12300,1923.377802,7203.40368,4977.63288,9573868.59
2010,COKE,23.7,13600,5900,1593.848039,5503.72416,2387.64504,3805543.365
2010,COLEMAN,23,47100,30200,1546.772359,19060.69176,12221.50512,18903886.3
2010,COLLINGSWORTH,24.2,47000,15300,1627.473525,19020.2232,6191.68968,10076811.03
2010,COMANCHE,25.8,6300,600,1735.075081,2549.51928,242.81136,421295.94
2010,CONCHO,32.6,56500,52900,2192.381691,22864.7364,21407.86824,46934218.37
2010,COOKE,36.5,27500,15800,2454.660482,11128.854,6394.03248,15695178.85
2010,CORYELL,37,9700,5600,2488.285968,3925.45032,2266.23936,5639051.6
2010,COTTLE,28.9,27700,13200,1943.553094,11209.79112,5341.84992,10382168.94
2010,CROSBY,33.7,28700,12400,2266.35776,11614.47672,5018.10144,11372813.14
2010,DALLAM,41.3,114000,86900,2777.465148,46134.1584,35167.17864,97675613.04
2010,DAWSON,46.7,37800,9000,3140.620398,15297.11568,3642.1704,11438674.65
2010,DEAF SMITH,30.9,214000,152100,2078.055038,86602.7184,61552.67976,127909856.3
2010,DELTA,56.1,4400,4100,3772.779536,1780.61664,1659.21096,6259837.155
2010,DENTON,27,30400,16800,1815.776247,12302.44224,6798.71808,12344950.8
2010,DICKENS,22.5,23000,5200,1513.146873,9307.7688,2104.36512,3184213.5
2010,DONLEY,25.9,15900,7600,1741.800178,6434.50104,3075.61056,5357099.02
2010,EASTLAND,35.4,11900,700,2380.684413,4815.75864,283.27992,674400.09
2010,ELLIS,45,20900,14600,3026.293745,8457.92904,5908.40976,17880583.5
2010,FALLS,45.6,15000,6500,3066.644328,6070.284,2630.4564,8066674.2
2010,FANNIN,34.8,14400,5000,2340.33383,5827.47264,2023.428,4735497
2010,FISHER,27.4,57800,19500,1842.676636,23390.82768,7891.3692,14541241.65
2010,FLOYD,30.7,94500,82800,2064.604844,38242.7892,33507.96768,69180712.38
2010,FOARD,23,88000,60500,1546.772359,35612.3328,24483.4788,37870368.25
2010,FRIO,43.6,11500,9700,2932.142384,4653.8844,3925.45032,11509979.26
2010,GILLESPIE,36.9,5600,4200,2481.560871,2266.23936,1699.67952,4217858.19
2010,GLASSCOCK,22.8,12700,9400,1533.322164,5139.50712,3804.04464,5832825.96
2010,GRAY,35.3,43400,39100,2373.959316,17563.35504,15823.20696,37563649.57
2010,GRAYSON,46,26300,21600,3093.544717,10643.23128,8741.20896,27041320.8
2010,GUADALUPE,44.6,9700,7200,2999.393356,3925.45032,2913.73632,8739441.36
2010,HALE,42.1,63000,44900,2831.265926,25495.1928,18170.38344,51445187.5
2010,HALL,25.5,23000,10800,1714.899789,9307.7688,4370.60448,7495148.7
2010,HAMILTON,36,4700,3500,2421.034996,1902.02232,1416.3996,3429153
2010,HANSFORD,33.5,203000,183800,2252.907566,82151.1768,74381.21328,167573998.2
2010,HARDEMAN,29.1,85800,48000,1957.003288,34722.02448,19424.9088,38014610.4
2010,HARTLEY,48,77200,57900,3228.046661,31241.72832,23431.29624,75637317.6
2010,HASKELL,25.7,175500,129800,1728.349983,71022.3228,52528.19088,90787097.83
2010,HAYS,38,2200,1500,2555.53694,890.30832,607.0284,1551283.5
2010,HEMPHILL,30.6,16900,8100,2057.879747,6839.18664,3277.95336,6745633.83
2010,HILL,46.8,30300,28200,3147.345495,12261.97368,11412.13392,35917928.28
2010,HOCKLEY,31.7,20900,5200,2131.855816,8457.92904,2104.36512,4486203.02
2010,HUDSPETH,54.6,2600,1800,3671.903077,1052.18256,728.43408,2674739.34
2010,HUNT,41.1,14900,7100,2764.014954,6029.81544,2873.26776,7941755.055
2010,HUTCHINSON,29.4,76100,61200,1977.17858,30796.57416,24766.75872,48968304.84
2010,JACK,25.5,10100,1100,1714.899789,4087.32456,445.15416,763394.775
2010,JOHNSON,42.7,10500,3300,2871.616509,4249.1988,1335.46248,3834936.105
2010,JONES,27.5,156700,105500,1849.401733,63414.23352,42694.3308,78958969.38
2010,KAUFMAN,24.2,4500,1300,1627.473525,1821.0852,526.09128,856199.63
2010,KING,24,11000,1400,1614.023331,4451.5416,566.55984,914440.8
2010,KNOX,30.8,180600,112700,2071.329941,73086.21936,45608.06712,94469354.98
2010,LAMAR,40.4,5100,1800,2716.939273,2063.89656,728.43408,1979111.16
2010,LAMB,41.4,60000,41600,2784.190245,24281.136,16834.92096,46871622.72
2010,LAMPASAS,27,1300,700,1815.776247,526.09128,283.27992,514372.95
2010,LIMESTONE,44.1,5700,3900,2965.76787,2306.70792,1578.27384,4680793.845
2010,LIPSCOMB,34.9,27500,21600,2347.058927,11128.854,8741.20896,20516132.52
2010,LUBBOCK,30.6,21800,10300,2057.879747,8822.14608,4168.26168,8577781.29
2010,LYNN,38.2,16900,7800,2568.987135,6839.18664,3156.54768,8109130.38
2010,MARTIN,28.8,11300,900,1936.827997,4572.94728,364.21704,705425.76
2010,MCCULLOCH,31.1,38300,33300,2091.505233,15499.45848,13476.03048,28185188.27
2010,MCLENNAN,45.8,25000,19200,3080.094523,10117.14,7769.96352,23932222.08
2010,MEDINA,42,17200,13800,2824.540829,6960.59232,5584.66128,15774103.8
2010,MIDLAND,20.8,11400,4600,1398.82022,4613.41584,1861.55376,2603979.04
2010,MILAM,44.1,8600,6300,2965.76787,3480.29616,2549.51928,7561282.365
2010,MILLS,22,3000,700,1479.521386,1214.0568,283.27992,419118.7
2010,MITCHELL,17.7,35900,19500,1190.342206,14528.21304,7891.3692,9393429.825
2010,MONTAGUE,23.5,16500,2200,1580.397845,6677.3124,890.30832,1407041.35
2010,MOORE,37.8,103500,88200,2542.086746,41884.9596,35693.26992,90735388.38
2010,MOTLEY,14.8,13200,2300,995.3143873,5341.84992,930.77688,926415.62
2010,NAVARRO,36.9,8200,2600,2481.560871,3318.42192,1052.18256,2611055.07
2010,NOLAN,31.9,27300,17700,2145.30601,11047.91688,7162.93512,15366687.77
2010,NUECES,40.6,7000,6500,2730.389468,2832.7992,2630.4564,7182170.45
2010,OCHILTREE,36.4,158800,142900,2447.935385,64264.07328,57829.57224,141563056.2
2010,OLDHAM,19.4,48000,27700,1304.668859,19424.9088,11209.79112,14625065.39
